Listening_Date,Time,Track_Name,Genre,Valence,Energy,Mood_Now,Activity,Day_Rating
2026-01-05,10:01,It Ain't Me (with Selena Gomez),Pop,0.58,0.69,5,Meeting,6
2026-01-05,10:03,Jawbreaker,Rock,0.52,0.75,5,Meeting,6
2026-01-05,10:06,Chest,Rock,0.44,0.68,5,Meeting,6
2026-01-05,10:09,someday i'll get it,Indie,0.25,0.15,5,Meeting,6
2026-01-05,10:14,Everyone’s A Star!,Rock,0.52,0.75,5,Meeting,6
2026-01-05,10:17,Dominga,Hip-Hop,0.58,0.65,5,Meeting,6
2026-01-05,10:22,The Rocks,Rock,0.52,0.75,5,Meeting,6
2026-01-06,17:20,Evolve,Rock,0.52,0.75,5,Commuting,6
2026-01-06,17:24,Ghost,Rock,0.52,0.75,5,Commuting,6
2026-01-06,17:29,Catapult,Indie,0.45,0.48,5,Commuting,6
2026-01-06,17:32,Sick of Myself,Rock,0.52,0.75,5,Commuting,6
2026-01-06,17:33,Everyone’s A Star!,Rock,0.52,0.75,5,Commuting,6
2026-01-07,9:48,Sick of Myself,Rock,0.52,0.75,5,Studying,6
2026-01-07,9:52,Jawbreaker,Rock,0.52,0.75,5,Studying,6
2026-01-07,9:57,Ghost,Rock,0.52,0.75,5,Studying,6
2026-01-08,1:30,Can we talk about Isaac?,Indie,0.45,0.52,7,Studying,6
2026-01-08,1:35,It's Not Living (If It's Not With You),Rock,0.85,0.88,7,Studying,6
2026-01-08,1:38,Somebody Else,Rock,0.42,0.55,7,Studying,6
2026-01-08,1:42,I Ain't Perfect,Rock,0.55,0.68,7,Studying,6
2026-01-08,1:47,"Drive, Don't Talk",Indie,0.5,0.45,7,Studying,6
2026-01-08,1:50,Nice To Each Other,Pop,0.65,0.58,7,Studying,6
2026-01-08,1:53,All I Ever Asked,Indie,0.6,0.62,7,Studying,6
2026-01-08,1:58,Naiilang,Indie,0.52,0.4,7,Studying,6
2026-01-08,2:03,TAKEDOWN,Pop,0.7,0.85,7,Studying,6
2026-01-08,2:07,Baliw Sayo,Hip-Hop,0.68,0.6,7,Studying,6
2026-01-08,2:14,Kusapiling,Pop,0.45,0.35,7,Studying,6
2026-01-09,5:58,THIS IS FOR,Pop,0.65,0.78,7,Studying,6
2026-01-09,6:04,LET LOVE GO,Pop,0.58,0.65,7,Studying,6
2026-01-09,6:08,TALK,Pop,0.72,0.82,7,Studying,6
2026-01-09,6:12,G.O.A.T.,Pop,0.8,0.85,7,Studying,6
2026-01-09,6:16,OPTIONS,Pop,0.6,0.7,7,Studying,6
2026-01-09,6:20,MARS,Pop,0.55,0.62,7,Studying,6
2026-01-09,6:24,RIGHT HAND GIRL,Pop,0.75,0.78,7,Studying,6
2026-01-09,6:27,PEACH GELATO,Pop,0.82,0.7,7,Studying,6
2026-01-09,6:31,EXTRA,Pop,0.7,0.88,7,Studying,6
2026-01-09,6:35,Beach House,Indie,0.48,0.52,7,Studying,6
2026-01-10,9:07,GO!,Pop,0.7,0.82,7,Studying,6
2026-01-10,9:15,We Found Love,Pop,0.6,0.88,7,Studying,6
2026-01-10,9:44,GO!,Pop,0.7,0.82,7,Studying,6
2026-01-10,9:49,Soup,Pop,0.75,0.72,7,Studying,6
2026-01-10,9:53,Kailan?,Pop,0.58,0.45,7,Studying,6
2026-01-10,9:58,Just for Me,Pop,0.45,0.5,7,Studying,6
2026-01-10,10:03,Sugarcoated,Indie,0.52,0.65,7,Studying,6
2026-01-10,10:09,All I Ever Asked,Indie,0.6,0.62,7,Studying,6
2026-01-10,10:15,I'm Not Perfect (But I'm Trying),Indie,0.48,0.42,7,Studying,6
2026-01-11,15:21,Like OHH-AHH,Pop,0.88,0.92,8,Commuting,9
2026-01-11,15:25,CHEER UP,Pop,0.95,0.88,8,Commuting,9
2026-01-11,15:27,TT,Pop,0.82,0.75,8,Commuting,9
2026-01-11,15:30,Knock Knock,Pop,0.85,0.82,8,Commuting,9
2026-01-11,15:33,Signal,Pop,0.7,0.78,8,Commuting,9
2026-01-11,15:37,One More Time,Pop,0.78,0.85,8,Commuting,9
2026-01-11,15:41,Likey,Pop,0.92,0.9,8,Commuting,9
2026-01-11,15:45,Heart Shaker,Pop,0.96,0.88,8,Commuting,9
2026-01-11,15:49,Candy Pop,Pop,0.9,0.85,8,Commuting,9
2026-01-11,15:52,What is Love?,Pop,0.9,0.88,8,Commuting,9
2026-01-11,15:56,Dance The Night Away,Pop,0.85,0.95,8,Commuting,9
2026-01-11,16:01,YES or YES,Pop,0.82,0.9,8,Commuting,9
2026-01-11,16:04,The Best Thing I Ever Did,Pop,0.55,0.4,8,Commuting,9
2026-01-11,16:08,Fancy,Pop,0.78,0.85,8,Commuting,9
2026-01-11,16:11,Feel Special,Pop,0.7,0.82,8,Commuting,9
2026-01-11,16:16,More & More,Pop,0.65,0.88,8,Commuting,9
2026-01-11,16:20,I Can't Stop Me,Pop,0.72,0.92,8,Commuting,9
