Listening_Date,Time,Track_Name,Genre,Valence,Energy,Mood_Now,Activity,Day_Rating
2026-01-26,14:02,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,7,Household,6
2026-01-26,14:04,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,7,Household,6
2026-01-26,16:21,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,7,Household,5
2026-01-26,16:24,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,7,Household,5
2026-01-26,16:30,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,7,Household,5
2026-01-27,10:21,things i wish you said,Pop,0.35,0.25,5,Studying,5
2026-01-27,10:23,Feather,Pop,0.82,0.68,5,Studying,5
2026-01-27,10:28,Lonesome,Pop,0.28,0.3,5,Studying,5
2026-01-27,10:31,emails i can't send,Pop,0.4,0.2,5,Studying,5
2026-01-27,10:34,Read your Mind,Pop,0.75,0.7,5,Studying,5
2026-01-27,10:38,Tornado Warnings,Pop,0.55,0.45,5,Studying,5
2026-01-27,10:42,because i liked a boy,Pop,0.42,0.48,5,Studying,5
2026-01-28,19:05,Young and Beautiful,Pop,0.3,0.35,5,Working,5
2026-01-28,19:08,Matilda,Pop,0.38,0.15,5,Working,5
2026-01-28,19:13,Start Over,Rock,0.65,0.88,5,Working,5
2026-01-29,17:27,right where you left me,Pop,0.45,0.55,5,Cooking,6
2026-01-29,17:30,The Exit,Pop,0.32,0.52,5,Cooking,6
2026-01-29,7:33,Memories,Pop,0.35,0.45,5,Cooking,6
2026-01-30,3:00,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,4,Meeting,5
2026-01-30,3:03,Knock Knock,Pop,0.85,0.82,4,Meeting,5
2026-01-30,3:07,Cry for Me,Pop,0.45,0.78,4,Meeting,5
2026-01-30,3:10,I Can't Stop Me,Pop,0.72,0.92,4,Meeting,5
2026-01-30,3:13,This Is For,Pop,0.65,0.6,4,Meeting,5
2026-01-30,3:16,Doughnut,Pop,0.45,0.38,4,Meeting,5
2026-01-30,3:20,Strategy,Pop,0.88,0.85,4,Meeting,5
2026-01-31,7:08,Start Over,Rock,0.65,0.79,5,Cooking,5
2026-02-01,16:21,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,6,Exercising,6
2026-02-01,16:24,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,6,Exercising,6
2026-02-01,16:28,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,6,Exercising,6
2026-02-01,16:31,No Hands (feat. Roscoe Dash and Wale),Hip-Hop,0.59,0.85,6,Exercising,6
